City,Total Population,Young (0-14),Working Age (15-64),Elderly (65+),Population density,No schooling aged 20+,Higher education aged 20+,Matric aged 20+,Number of households,Average household size,Female headed households,Housing owned/paying off,Flush toilet connected to sewerage,Weekly refuse removal,Electricity for lighting,Percent No Income
Alexandra,"179,624",0.24,0.74,0.02,25979 persons/km2,0.04,0.06,0.39,63737,2.7,0.34,0.45,0.85,0.89,0.93,0.251
Chartwell,"1,728",0.16,0.77,0.07,191 persons/km2,0.02,0.31,0.32,722,2.3,0.35,0.33,0.59,0.94,0.99,0.072
City of Johannesburg NU,"9,933",0.22,0.74,0.04,34 persons/km2,0.07,0.07,0.28,3226,2.9,0.24,0.2,0.37,0.43,0.59,0.186
Dainfern,"6,601",0.26,0.7,0.05,1617 persons/km2,0,0.61,0.22,2151,3,0.34,0.56,1,1,1,0.047
Diepsloot,"138,329",0.22,0.77,0.01,11532 persons/km2,0.04,0.03,0.31,62882,2.1,0.29,0.21,0.74,0.92,0.61,0.235
Drie Ziek,"35,622",0.33,0.66,0.02,4728 persons/km2,0.05,0.03,0.31,10555,3.3,0.38,0.3,0.37,0.97,0.93,0.259
Ebony Park,"22,309",0.27,0.73,0.01,13696 persons/km2,0.03,0.21,0.43,7859,2.8,0.34,0.35,0.98,1,1,0.152
Ennerdale,"71,815",0.29,0.69,0.02,3367 persons/km2,0.04,0.08,0.35,19844,3.6,0.35,0.54,0.75,0.72,0.92,0.168
Farmall,"1,051",0.15,0.8,0.05,210 persons/km2,0.02,0.27,0.35,460,2.2,0.29,0.26,0.53,0.86,0.97,0.044
Itsoseng,"5,243",0.23,0.76,0.01,8973 persons/km2,0.05,0.03,0.33,1987,2.1,0.29,0.42,0.01,0.81,0.03,0.372
Ivory Park,"184,383",0.25,0.75,0.01,20020 persons/km2,0.06,0.04,0.33,68299,2.6,0.26,0.2,0.88,0.97,0.88,0.225
Johannesburg,"957,441",0.21,0.75,0.04,2860 persons/km2,0.02,0.22,0.38,300199,2.8,0.37,0.33,0.94,0.97,0.95,0.166
Kaalfontein,"46,147",0.27,0.73,0.01,9302 persons/km2,0.05,0.11,0.38,15552,2.7,0.32,0.22,0.95,0.99,0.87,0.209
Kagiso,"5,182",0.27,0.71,0.02,9083 persons/km2,0.05,0.03,0.26,1777,2.8,0.31,0.23,0.5,0.82,0.54,0.24
Kanana Park,"21,005",0.31,0.67,0.02,3079 persons/km2,0.08,0.02,0.24,6978,2.9,0.38,0.43,0.21,0.98,0.68,0.258
Lakeside,"23,503",0.32,0.66,0.02,6214 persons/km2,0.05,0.03,0.33,7039,3.3,0.42,0.54,0.99,0.99,0.99,0.185
Lanseria,"4,788",0.23,0.76,0.01,2623 persons/km2,0.06,0.02,0.29,2224,2.1,0.29,0.36,0,0.86,0.01,0.153
Lawley,"33,136",0.32,0.67,0.02,5439 persons/km2,0.04,0.05,0.33,10014,3.3,0.31,0.49,0.2,0.78,0.98,0.209
Lehae,"13,380",0.32,0.66,0.03,3819 persons/km2,0.06,0.03,0.27,3903,3.4,0.44,0.12,0.99,1,0.98,0.108
Lenasia,"89,714",0.23,0.7,0.06,4424 persons/km2,0.04,0.13,0.34,25763,3.4,0.28,0.48,0.56,0.95,0.56,0.153
Lenasia South,"37,110",0.24,0.73,0.03,2655 persons/km2,0.03,0.14,0.42,9983,3.7,0.27,0.59,0.69,0.91,0.94,0.18
Lucky 7,0,0,0,0,0 persons/km2,0,0,0,0,0,0,0,0,0,0,0
Malatjie,"2,321",0.23,0.76,0.01,12771 persons/km2,0.05,0.03,0.3,1062,2,0.38,0.67,0.02,0.73,0.02,0.558
Mayibuye,"22,178",0.25,0.75,0.01,19143 persons/km2,0.02,0.04,0.35,7805,2.4,0.3,0.15,0.98,1,0.99,0.215
Midrand,"87,387",0.21,0.75,0.03,572 persons/km2,0.01,0.57,0.25,33219,2.5,0.34,0.45,0.86,0.97,0.99,0.056
Millgate Farm,172,0.15,0.81,0.04,195 persons/km2,0.04,0.07,0.46,80,2.1,0.2,0.19,0.16,0.75,0.69,0.086
Orange Farm,"76,767",0.3,0.67,0.03,6312 persons/km2,0.07,0.04,0.31,21029,3.6,0.38,0.54,0.7,0.99,0.99,0.19
Poortjie,"11,153",0.32,0.65,0.02,4591 persons/km2,0.06,0.02,0.24,3247,3.4,0.44,0.41,0.25,0.98,0.9,0.204
Rabie Ridge,"41,204",0.24,0.74,0.01,12386 persons/km2,0.03,0.07,0.37,15220,2.5,0.29,0.21,0.74,0.93,0.77,0.236
Randburg,"337,053",0.19,0.73,0.08,2007 persons/km2,0.01,0.43,0.31,123767,2.6,0.38,0.51,0.93,0.96,0.94,0.098
Randfontein,0,0,0,0,0 persons/km2,0,0,0,0,0,0,0,0,0,0,0
Rietfontein,196,0.14,0.79,0.07,90 persons/km2,0.01,0.27,0.34,69,2.6,0.17,0.24,0.71,0.3,0.99,0.014
Roodepoort,"326,416",0.21,0.73,0.05,2021 persons/km2,0.02,0.3,0.36,109707,2.7,0.33,0.47,0.87,0.95,0.88,0.126
Sandton,"222,415",0.18,0.75,0.07,1550 persons/km2,0.01,0.56,0.25,94343,2.2,0.41,0.51,0.97,0.98,0.98,0.07
Soweto,"1,271,628",0.25,0.71,0.04,6357 persons/km2,0.03,0.09,0.38,355331,3.4,0.4,0.43,0.92,0.97,0.93,0.187
Stretford,"61,141",0.31,0.66,0.03,8282 persons/km2,0.06,0.04,0.3,16998,3.6,0.4,0.55,0.76,0.98,0.99,0.0188
Tshepisong,"53,260",0.29,0.7,0.01,8117 persons/km2,0.05,0.03,0.3,17941,3,0.34,0.34,0.57,0.97,0.84,0.017
Vlakfontein,"27,291",0.32,0.67,0.02,5894 persons/km2,0.06,0.03,0.29,8532,3.2,0.37,0.45,0.97,0.99,0.98,0.217
Zakariyya Park,"6,200",0.25,0.74,0.02,3160 persons/km2,0.01,0.24,0.5,1348,4.1,0.36,0.76,0.99,0.97,1,0.084
Zevenfontein,0,0,0,0,0 persons/km2,0,0,0,0,0,0,0,0,0,0,0
